id,equipment_id,person_id,verification_type,recognition_name,image_url,equipment_verification_id,add_time,update_time,operator_id,remark,recognition_type,temperature_val,signSimilar,qrCode
1026,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/2616bde3c1c74c05aeeb770adfdf7e8d/20200811120519_20200807114937.jpg,20200807114937,2020-08-07 11:49:37,2020-08-11 12:05:19,1,,0,36.4℃,,
1027,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/b05a2db39e0044d3b5a8c093d8e12d89/20200811120520_20200807114927.jpg,20200807114927,2020-08-07 11:49:27,2020-08-11 12:05:20,1,,0,36.1℃,,
1028,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/3020b2532a3b402babd8802bca7ae5cc/20200811120520_20200807114925.jpg,20200807114925,2020-08-07 11:49:25,2020-08-11 12:05:20,1,,0,36.6℃,,
1029,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/9497a82a624d49eb9872e0170f967a1d/20200811120520_20200807114923.jpg,20200807114923,2020-08-07 11:49:23,2020-08-11 12:05:20,1,,0,36.2℃,,
1030,1,-2,3,未登録(- - -),,20200807114921,2020-08-07 11:49:21,2020-08-07 11:49:21,1,,0,36.2℃,,
1031,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/e018edf6e05640f4bba627ba97f998c2/20200811120520_20200807114856.jpg,20200807114856,2020-08-07 11:48:56,2020-08-11 12:05:20,1,,0,36.5℃,,
1032,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/2e586c10498c4d268465f2bb651e25a9/20200811120520_20200807114854.jpg,20200807114854,2020-08-07 11:48:54,2020-08-11 12:05:20,1,,0,36.5℃,,
1033,1,-2,3,未登録(- - -),,20200807114902,2020-08-07 11:49:02,2020-08-07 11:49:02,1,,0,36.4℃,,
1034,1,-2,3,未登録(- - -),,20200807114852,2020-08-07 11:48:52,2020-08-07 11:48:52,1,,0,36.3℃,,
1035,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/4df8868d3e504bb7bb0788c2073c51cd/20200811120520_20200807114848.jpg,20200807114848,2020-08-07 11:48:48,2020-08-11 12:05:20,1,,0,36.2℃,,
1036,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/52c8f68d625d4419984c8417f6cec54d/20200811120520_20200807114846.jpg,20200807114846,2020-08-07 11:48:46,2020-08-11 12:05:20,1,,0,36.4℃,,
1037,1,-2,3,未登録(- - -),,20200807101124,2020-08-07 10:11:24,2020-08-07 10:11:24,1,,0,36.5℃,,
1038,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/53a47b73c7b5447ca9a8181bd7847404/20200811120520_20200807105239.jpg,20200807105239,2020-08-07 10:52:39,2020-08-11 12:05:20,1,,0,36.2℃,,
1039,1,-2,3,未登録(- - -),,20200807100715,2020-08-07 10:07:15,2020-08-07 10:07:15,1,,0,36.5℃,,
1040,1,-2,3,未登録(- - -),,20200807114850,2020-08-07 11:48:50,2020-08-07 11:48:50,1,,0,36.2℃,,
1041,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/5e6f4473e0404892bdf9acc11ec34e3a/20200811120520_20200807100643.jpg,20200807100643,2020-08-07 10:06:43,2020-08-11 12:05:20,1,,0,36.5℃,,
1042,1,-2,3,未登録(- - -),,20200807100640,2020-08-07 10:06:40,2020-08-07 10:06:40,1,,0,36.1℃,,
1043,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/a52a3d673b2a43328fcc58001b211a38/20200811120520_20200807100622.jpg,20200807100622,2020-08-07 10:06:22,2020-08-11 12:05:20,1,,0,36.3℃,,
1044,1,-2,3,未登録(- - -),,20200807100606,2020-08-07 10:06:06,2020-08-07 10:06:06,1,,0,36.4℃,,
1045,1,-2,3,未登録(- - -),,20200807100604,2020-08-07 10:06:04,2020-08-07 10:06:04,1,,0,36.2℃,,
1046,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/f3de8d2de81d4d91a6ffcdb047d94021/20200811120520_20200807100602.jpg,20200807100602,2020-08-07 10:06:02,2020-08-11 12:05:20,1,,0,36.5℃,,
1047,1,-2,3,未登録(- - -),,20200807100558,2020-08-07 10:05:58,2020-08-07 10:05:58,1,,0,36.3℃,,
1048,1,-2,3,未登録(- - -),,20200807100556,2020-08-07 10:05:56,2020-08-07 10:05:56,1,,0,36.5℃,,
1049,1,-2,3,未登録(- - -),,20200807095607,2020-08-07 09:56:07,2020-08-07 09:56:07,1,,0,36.2℃,,
